text,source,topic
Threadsregisterscode data files stack registers registers registerscode data files stack stack stack thread thread single-threaded process multithreaded process,textbook_chunk_0,multithreading
Figure 4.1 Single-threaded and multithreaded processes.,textbook_chunk_1,multithreading
"A web browser might have one thread display images or text while another thread retrieves data from the network, for example.",textbook_chunk_2,multithreading
"A word processor may have a thread for displaying graphics, another thread for responding to keystrokes from the user, and a third thread for performing spelling and grammar checking in the background.",textbook_chunk_3,multithreading
Applications can also be designed to leverage processing capabilities on multicore systems.,textbook_chunk_4,multithreading
Such applications can perform several CPU-intensive tasks in parallel across the multiple computing cores.,textbook_chunk_5,multithreading
"In certain situations, a single application may be required to perform several similar tasks.",textbook_chunk_6,multithreading
"For example, a web server accepts client requests for web pages, images, sound, and so forth.",textbook_chunk_7,multithreading
A busy web server may have several (perhaps thousands of) clients concurrently accessing it.,textbook_chunk_8,multithreading
"If the web server ran as a traditional single-threaded process, it would be able to service only one client at a time, and a client might have to wait a very long time for its request to be serviced.",textbook_chunk_9,multithreading
One solution is to have the server run as a single process that accepts requests.,textbook_chunk_10,multithreading
"When the server receives a request, it creates a separate process to service that request.",textbook_chunk_11,multithreading
"In fact, this process-creation method was in common use before threads became popular.",textbook_chunk_12,multithreading
"Process creation is time consuming and resource intensive, however.",textbook_chunk_13,multithreading
"If the new process will perform the same tasks as the existing process, why incur all that overhead?",textbook_chunk_14,multithreading
It is generally more efﬁcient to use one process that contains multiple threads.,textbook_chunk_15,multithreading
"If the web-server process is multithreaded, the server will create a separate thread that listens for client requests.",textbook_chunk_16,multithreading
"When a request is made, rather th an creating another process, the server creates a new thread to service the request and resume listening for additional requests.",textbook_chunk_17,multithreading
This is illustrated in Figure 4.2.,textbook_chunk_18,multithreading
Threads also play a vital role in remote procedure call ( RPC)s y s t e m s .R e,textbook_chunk_19,multithreading
c a l l from Chapter 3 that RPCsa l l o wi n t e r p r o c e s sc o m m u,textbook_chunk_20,multithreading
i n ga communication mechanism similar to ordinary function or procedure calls.,textbook_chunk_21,multithreading
"Typically, RPC servers are multithreaded.",textbook_chunk_22,multithreading
"When a server receives a message, it",textbook_chunk_23,multithreading
An operating system acts as an intermediary between the user of a computer and the computer hardware.,textbook_chunk_24,general
The purpose of an operating system is to provide an environment in which a user can execute programs in a convenient andefﬁcient manner.,textbook_chunk_25,general
An operating system is software that manages the computer hard- ware.,textbook_chunk_26,general
The hardware must provide appropriate mechanisms to ensure the correct operation of the computer system and to prevent user programs from interfering with the proper operation of the system.,textbook_chunk_27,general
"Internally, operating systems vary greatly in their makeup, since they are organized along many different lines.",textbook_chunk_28,general
The design of a new operating system is a major task.,textbook_chunk_29,general
It is important that the goals of the system be well deﬁned before the design begins.,textbook_chunk_30,general
These goals form the basis for choices among various algorith ms and strategies.,textbook_chunk_31,general
"Because an operating system is large and complex, it must be created piece by piece.",textbook_chunk_32,general
"Each of these pieces should be a well-delineated portion of the system, with carefully deﬁned inputs, outputs, and functions.",textbook_chunk_33,general
376 8.1 Background 353 operating system0 256000 300040300040 base 120900 limit420940 880000 1024000process process process,textbook_chunk_34,memory_management
Figure 8.1 Ab a s ea n dal,textbook_chunk_35,memory_management
"300040 and the limit register is 120900, then the program can legally access all addresses from 300040 through 420939 (inclusive).",textbook_chunk_36,memory_management
Protection of memory space is accomplished by having the CPU hardware compare every address generated in user mode with the registers.,textbook_chunk_37,memory_management
"Any attempt by a program executing in user mode to access operating-system memory or other users memory results in a trap to the operating system, which treats the attempt as a fatal error (Figure 8.2).",textbook_chunk_38,memory_management
This scheme prevents a user program from (accidentally or deliberately) modifying the code or data structures of either the operating system or other users.,textbook_chunk_39,memory_management
"The base and limit registers can be loaded only by the operating system, which uses a special privileged instruction.",textbook_chunk_40,memory_management
"Since privileged instructions can be executed only in kernel mode, and since only the operating system executes in kernel mode, only the operating system can load the base and limit registers.base memorytrap to operating system monitoraddressing erroraddress",textbook_chunk_41,memory_management
yes yes no noCPUbase H11001 limit   Figure 8.2 Hardware address protection with base and limit registers.,textbook_chunk_42,memory_management
36 1.3 Computer-System Architecture 13thread of executioninstructions and datainstruction execution cycle data movement DMA memory interruptcache data IO requestCPU (N) device (M) Figure 1.5 How a modern computer system works.,textbook_chunk_43,process_management
can categorize roughly according to the number of general-purpose processors used.,textbook_chunk_44,process_management
"1.3.1 Single-Processor Systems Until recently, most computer systems used a single processor.",textbook_chunk_45,process_management
"On a single- processor system, there is one main CPU capable of executing a general-purpose instruction set, including instructions from user processes.",textbook_chunk_46,process_management
Almost all single- processor systems have other special-purpose processors as well.,textbook_chunk_47,process_management
"They may come in the form of device-speciﬁc processors, such as disk, keyboard, and graphics controllers; or, on mainframes, they may come in the form of more general-purpose processors, such as IO processors that move data rapidly among the components of the system.",textbook_chunk_48,process_management
All of these special-purpose processors run a limited instruction set and do not run user processes.,textbook_chunk_49,process_management
"Sometimes, they are managed by the operating system, in that the operating system sends them information about their next task and monitors their status.",textbook_chunk_50,process_management
"For example, a disk-controller microprocessor receives a sequence of requests from the main CPU and implements its own disk queue and scheduling algorithm.",textbook_chunk_51,process_management
This arrangement relieves the main CPU of the overhead of disk scheduling.,textbook_chunk_52,process_management
i c r o p r o c e s s o ri nt h ek e y b o a r d to convert the keystrokes into codes to be sent to the CPU.I no t,textbook_chunk_53,process_management
"t e m s or circumstances, special-purpose processors are low-level components built into the hardware.",textbook_chunk_54,process_management
The operating system cannot communicate with these processors; they do their jobs autonomously.,textbook_chunk_55,process_management
The use of special-purpose microprocessors is common and does not turn a single-processor system into,textbook_chunk_56,process_management
24 Chapter 1 Introduction 1.5.2,textbook_chunk_57,general
Timer We must ensure that the operating system maintains control over the CPU.,textbook_chunk_58,general
We cannot allow a user program to get stuck in an inﬁnite loop or to fail to call system services and never return control to the operating system.,textbook_chunk_59,general
"To accomplish this goal, we can use a timer .At",textbook_chunk_60,general
i m e rc a nb es e tt oi n t e r r u p t the computer after a speciﬁed period.,textbook_chunk_61,general
"The period may be ﬁxed (for example, 160 second) or variable (for example, from 1 millisecond to 1 second).",textbook_chunk_62,general
A variable timer is generally implemented by a ﬁxed-rate clock and a counter.,textbook_chunk_63,general
The operating system sets the counter.,textbook_chunk_64,general
"Every time the clock ticks, the counter is decremented.",textbook_chunk_65,general
"When the counter reaches 0 , an interrupt occurs.",textbook_chunk_66,general
"For instance, a1 0 - b i tc o u n t e rw",textbook_chunk_67,general
i s e c o n dc l o c ka l l o w si n t e r r u p t sa,textbook_chunk_68,general
ti n t e r v a l sf r o m 1m i l l,textbook_chunk_69,general
"i s e c o n dt o1 , 0 2 4m i",textbook_chunk_70,general
"i s e c o n d s ,i ns t e p so f1m i",textbook_chunk_71,general
"Before turning over control to the user, the operating system ensures that the timer is set to interrupt.",textbook_chunk_72,general
"If the timer interrupts, control transfers automatically to the operating system, which may treat the interrupt as a fatal error or may give the program more time.",textbook_chunk_73,general
"Clearly, instructions that modify the content of the timer are privileged.",textbook_chunk_74,general
We can use the timer to prevent a user program from running too long.,textbook_chunk_75,general
A simple technique is to initialize a counter with the amount of time that a program is allowed to run.,textbook_chunk_76,general
"A program with a 7-minute time limit, for example, would have its counter initialized to 420.",textbook_chunk_77,general
"Every second, the timer interrupts, and the counter is decremented by 1.",textbook_chunk_78,general
"As long as the counter is positive, control is returned to the user program.",textbook_chunk_79,general
"When the counter becomes negative, the operating system terminates the program for exceeding the assigned time limit.",textbook_chunk_80,general
"1.6 Process Management A program does nothing unless its instructions are executed by a CPU.A program in execution, as mentioned, is a process.",textbook_chunk_81,general
A time-shared user program such as a compiler is a process.,textbook_chunk_82,general
A word-processing program being run by an individual user on a PCis a process.,textbook_chunk_83,general
"A system task, such as sending output to a printer, can also be a process (or at least part of one).",textbook_chunk_84,general
"For now, you can consider a process to be a job or a time-shared program, but later you will learn that the concept is more general.",textbook_chunk_85,general
"As we shall see in Chapter 3, it is possible to provide system calls that allow processes to create subprocesses to execute concurrently.",textbook_chunk_86,general
Ap r o c e s sn e e d sc e r t a i nr e s o u r c e s,textbook_chunk_87,general
"i n g CPU time, memory, ﬁles, and IOdevicesto accomplish its task.",textbook_chunk_88,general
These resources are either given to the process when it is created or allocated to it while it is running.,textbook_chunk_89,general
"In addition to the various physical and logical resources that a process obtains when it is created, various initialization data (input) may be passed along.",textbook_chunk_90,general
"For example, consider a process whose function is to display the status of a ﬁle on the screen of a terminal.",textbook_chunk_91,general
The process will be given the name of the ﬁle as an input and will execute the appropriate instructions and system calls to obtain and display the desired information on the terminal.,textbook_chunk_92,general
"When the process terminates, the operating system will reclaim any reusable resources.",textbook_chunk_93,general
We emphasize that a program by itself is not a process.,textbook_chunk_94,general
"A program is a passive entity, like the contents of a ﬁle stored on disk, whereas a process",textbook_chunk_95,general
51 28 Chapter 1 Introduction temporary basis.,textbook_chunk_96,io_systems
"When we need a particular piece of information, we ﬁrst check whether it is in the cache.",textbook_chunk_97,io_systems
"If it is, we use the information directly from the cache.",textbook_chunk_98,io_systems
"If it is not, we use the information from the source, putting a copy in the cache under the assumption that we will need it again soon.",textbook_chunk_99,io_systems
"In addition, internal programmable registers, such as index registers, provide a high-speed cache for main memory.",textbook_chunk_100,io_systems
The programmer (or compiler) implements the register-allocation and register-replacement algorithms to decide which information to keep in registers and which to keep in main memory.,textbook_chunk_101,io_systems
Other caches are implemented totally in hardware.,textbook_chunk_102,io_systems
"For instance, most systems have an instruction cache to hold the instructions expected to be executed next.",textbook_chunk_103,io_systems
"Without this cache, the CPU would have to wait several cycles while an instruction was fetched from main memory.",textbook_chunk_104,io_systems
"For similar reasons, most systems have one or more high-speed data caches in the memory hierarchy.",textbook_chunk_105,io_systems
"We are not concerned with these hardware-only caches in this text, since they are outside the control of the operating system.",textbook_chunk_106,io_systems
"Because caches have limited size, cache management is an important design problem.",textbook_chunk_107,io_systems
Careful selection of the cache size and of a replacement policy can result in greatly increased performance.,textbook_chunk_108,io_systems
Figure 1.11 compares storage performance in large workstations and small servers.,textbook_chunk_109,io_systems
Various replacement algorithms for software-controlled caches are discussed in Chapter 9.,textbook_chunk_110,io_systems
"Main memory can be viewed as a fast cache for secondary storage, since data in secondary storage must be copied into main memory for use and data must be in main memory before being moved to secondary storage for safekeeping.",textbook_chunk_111,io_systems
"The ﬁle-system data, which resides permanently on secondary storage, may appear on several levels in the storage hierarchy.",textbook_chunk_112,io_systems
"At the highest level, the operating system may maintain a cache of ﬁle-system data in main memory.",textbook_chunk_113,io_systems
"In addition, solid-state disks may be used for high-speed storage that is accessed through the ﬁle-system interface.",textbook_chunk_114,io_systems
The bulk of secondary storage is on magnetic disks.,textbook_chunk_115,io_systems
"The magnetic-disk storage, in turn, is often backed up onto magnetic tapes or removable disks to protect against data loss in case of a hard-disk failure.",textbook_chunk_116,io_systems
"Some systems automatically archive old ﬁle data from secondary storage to tertiary storage, such as tape jukeboxes, to lower the storage cost (see Chapter 10).",textbook_chunk_117,io_systems
Level Name Typical size Implementation technology,textbook_chunk_118,io_systems
"Access time (ns) Bandwidth (MBsec) Managed by Backed by1 registers  1 KB custom memory with multiple ports CMOS 0.25 - 0.5 20,000 - 100,000 compiler cache2 cache  16MB on-chip or off-chip CMOS SRAM 0.5 - 25 5,000 - 10,000 hardware main memory3 main memory  64GB CMOS SRAM 80 - 250 1,000 - 5,000 operating system disk4 solid state disk  1 TB flash memory 25,000 - 50,000 500 operating system disk5 magnetic disk  10 TB magnetic disk 5,000,000 20 - 150 operating system disk or tape Figure 1.11 Performance of various levels of storage.",textbook_chunk_119,io_systems
1.11 Computing Environments 39 1.11.5 Peer-to-Peer Computing Another structure for a distributed system is the peer-to-peer ( P2P)s y s t e m model.,textbook_chunk_120,general
"In this model, clients and servers are not distinguished from one another.",textbook_chunk_121,general
"Instead, all nodes within the system are considered peers, and each may act as either a client or a server, d epending on whether it is requesting or providing a service.",textbook_chunk_122,general
Peer-to-peer systems offer an advantage over traditional client-server systems.,textbook_chunk_123,general
"In a client-server system, the server is a bottleneck; but in a peer-to-peer system, services can be provided by several nodes distributed throughout the network.",textbook_chunk_124,general
"To participate in a peer-to-peer system, a node must ﬁrst join the network of peers.",textbook_chunk_125,general
"Once a node has joined the netw ork, it can begin providing services toand requesting services fromother nodes in the network.",textbook_chunk_126,general
"Determining what services are available is accomplished in one of two general ways: When a node joins a network, it registers its service with a centralized lookup service on the network.",textbook_chunk_127,general
Any node desiring a speciﬁc service ﬁrst contacts this centralized lookup service to determine which node provides the service.,textbook_chunk_128,general
The remainder of the communication takes place between the client and the service provider.,textbook_chunk_129,general
An alternative scheme uses no centralized lookup service.,textbook_chunk_130,general
"Instead, a peer acting as a client must discover what node provides a desired service by broadcasting a request for the service to all other nodes in the network.",textbook_chunk_131,general
The node (or nodes) providing that service responds to the peer making the request.,textbook_chunk_132,general
"To support this approach, a discovery protocol must be provided that allows peers to discover servic es provided by other peers in the network.",textbook_chunk_133,general
Figure 1.19 illustrates such a scenario.,textbook_chunk_134,general
"Peer-to-peer networks gained widespread popularity in the late 1990s with several ﬁle-sharing services, such as Napster and Gnutella, that enabled peers to exchange ﬁles with one another.",textbook_chunk_135,general
"The Napster system used an approach similar to the ﬁrst type described ab ove: a centralized server maintained an index of all ﬁles stored on peer nodes in the Napster network, and the actualclient client client client client Figure 1.19 Peer-to-peer system with no centralized service.",textbook_chunk_136,general
66 Chapter 2 Operating-System Structures code for system call 13 operat ing systemuser programuse parameters from table XregisterX X: parameters for call load address X system call 13 Figure 2.7 Passing of parameters as a table.,textbook_chunk_137,general
"2.4 Types of System Calls System calls can be grouped roughly into six major categories: process control ,ﬁle manipulation ,device manipulation ,information maintenance , communications ,a n d protection .I nS e c t i o n s2 .",textbook_chunk_138,general
4 . 1t h r o u g h2 .,textbook_chunk_139,general
"4 . 6 ,w eb r i e ﬂ y discuss the types of system calls that may be provided by an operating system.",textbook_chunk_140,general
"Most of these system calls support, or are supported by, concepts and functions that are discussed in later chapters.",textbook_chunk_141,general
Figure 2.8 summarizes the types of system calls normally provided by an operating system.,textbook_chunk_142,general
"As mentioned, in this text, we normally refer to the system calls by generic names.",textbook_chunk_143,general
"Throughout the text, however, we provide examples of the a ctual counterparts to the system calls for Windows, UNIX ,a n dL",textbook_chunk_144,general
i n u xs y s t e m s .,textbook_chunk_145,general
2.4.1 Process Control Ar u n n i n gp r o g r a mn e e d st ob ea b l et,textbook_chunk_146,general
oh a l ti t se x e c u t,textbook_chunk_147,general
i t h e rn o r m a l l y (end() ),textbook_chunk_148,general
o ra b n o r m a l l y( abort() ).,textbook_chunk_149,general
"If a system call is made to terminate the currently running program abnormally, or if the program runs into a problem and causes an error trap, a dump of memory is sometimes taken and an error message generated.",textbook_chunk_150,general
"The dump is written to disk and may be examined by adebugger a system program designed to aid the programmer in ﬁnding and correcting errors, or bugs to determine the cause of the problem.",textbook_chunk_151,general
"Under either normal or abnormal circumstances, the operating system must transfer control to the invoking command interpreter.",textbook_chunk_152,general
The command interpreter then reads the next command.,textbook_chunk_153,general
"In an interactive system, the command interpreter simply continues with the next command; it is assumed that the user will issue an appropriate command to respond to any error.",textbook_chunk_154,general
"In a GUI system, a pop-up window might alert the user to the error and ask for guidance.",textbook_chunk_155,general
"In a batch system, the command interpreter usually terminates the entire job and continues with the next job.",textbook_chunk_156,general
Some systems may allow for special recovery actions in case an error occurs.,textbook_chunk_157,general
"If the program discovers an error in its input and wants to terminate abnormally, it may also want to deﬁne an error level.",textbook_chunk_158,general
More severe errors can be indicated by a higher-level error parameter.,textbook_chunk_159,general
"58 Chapter 2 Operating-System Structures himself or herself to the system, usually by means of a password, to gain access to system resources.",textbook_chunk_160,general
"It extends to defending external IOdevices, including network adapters, from invalid access attempts and to recording all such connections for detection of break-ins.",textbook_chunk_161,general
"If a system is to be protected and secure, precautions must be instituted throughout it.",textbook_chunk_162,general
A chain is only as strong as its weakest link.,textbook_chunk_163,general
2.2 User and Operating-System Interface,textbook_chunk_164,general
We mentioned earlier that there are several ways for users to interface with the operating system.,textbook_chunk_165,general
"Here, we discuss two fundamental approaches.",textbook_chunk_166,general
"One provides a command-line interface, or command interpreter ,t h a ta l l o w su s e r s to directly enter commands to be performed by the operating system.",textbook_chunk_167,general
"The other allows users to interface with the operating system via a graphical user interface, or GUI. 2.2.1",textbook_chunk_168,general
Command Interpreters Some operating systems include the command interpreter in the kernel.,textbook_chunk_169,general
"Others, such as Windows and UNIX , treat the command interpreter as a special program that is running when a job is initiated or when a user ﬁrst logs on (on interactive systems).",textbook_chunk_170,general
"On systems with multiple command interpreters to choose from, the interpreters are known as shells .F o re x a m p l e ,o n UNIX and Linux systems, a user may choose among several different shells, including the Bourne shell ,C shell ,Bourne-Again shell ,Korn shell ,a n do t h e r s",textbook_chunk_171,general
h i r d - p a r t ys h e l l sa n df r e e user-written shells are also available.,textbook_chunk_172,general
"Most shells provide similar functionality, and a users choice of which shell to use is generally based on personal preference.",textbook_chunk_173,general
Figure 2.2 shows the Bourne s hell command interpreter being used on Solaris 10.,textbook_chunk_174,general
The main function of the command interpreter is to get and execute the next user-speciﬁed command.,textbook_chunk_175,general
"Many of the commands given at this level manipulate ﬁles: create, delete, list, print, copy, execute, and so on.",textbook_chunk_176,general
The MS-DOS and UNIX shells operate in this way.,textbook_chunk_177,general
These commands can be implemented in two general ways.,textbook_chunk_178,general
"In one approach, the command interpreter itself contains the code to execute the command.",textbook_chunk_179,general
"For example, a command to delete a ﬁle may cause the command interpreter to jump to a section of its code that sets up the parameters and makes the appropriate system call.",textbook_chunk_180,general
"In this case, the number of commands that can be given determines the size of the command interpreter, since each command requires its own implementing code.",textbook_chunk_181,general
"An alternative approachused by UNIX , among other operating systems implements most commands through system programs.",textbook_chunk_182,general
"In this case, the command interpreter does not understand the command in any way; it merely uses the command to identify a ﬁle to be loaded into memory and executed.",textbook_chunk_183,general
"Thus, the UNIX command to delete a ﬁle rm file.txt would search for a ﬁle called rm,l o a dt",textbook_chunk_184,general
"h eﬁ l ei n t om e m o r y ,",textbook_chunk_185,general
a n de x e c u t ei tw i t h the parameter file.txt .T,textbook_chunk_186,general
i o na s s o c i a t e dw,textbook_chunk_187,general
71 executes a fork() system call.,textbook_chunk_188,process_management
"Then, the selected program is loaded into memory via an exec() system call, and the program is executed.",textbook_chunk_189,process_management
"Depending on the way the command was issued, the shell then either waits for the process to ﬁnish or runs the process in the background.",textbook_chunk_190,process_management
"In the latter case, the shell immediately requests another command.",textbook_chunk_191,process_management
"When a process is running in the background, it cannot receive input dire ctly from the keyboard, because the shell is using this resource.",textbook_chunk_192,process_management
